GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570108243,Hillsborough,11983.6821,9587.5096,9578.2810,250,367
120570109001,Hillsborough,11410.3936,9143.7653,9135.0968,300,439
120570110031,Hillsborough,8620.6219,8041.2031,8039.8333,840,673
120570110032,Hillsborough,10830.2517,9546.9800,9542.2860,357,375
120570110033,Hillsborough,11188.7941,10044.9769,10041.5025,321,295
120570110034,Hillsborough,11223.0525,9657.8343,9651.7499,316,357
120570110051,Hillsborough,5477.7330,5192.8146,5192.7769,1381,1340
120570110061,Hillsborough,5299.3441,5053.8247,5053.7763,1414,1364
120570110062,Hillsborough,6613.5094,6225.7674,6225.2942,1216,1135
120570110063,Hillsborough,6810.1714,6520.2431,6520.2059,1187,1079
120570110071,Hillsborough,7670.6044,7304.2576,7304.2331,1027,860
120570110072,Hillsborough,8465.2549,8116.0532,8116.0207,875,662
120570110073,Hillsborough,8264.9670,7919.8323,7919.7714,912,700
